Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	mix_1 Spectral Count	mix_2 Spectral Count	mix_3 Spectral Count	mix_1 Unique Spectral Count	mix_2 Unique Spectral Count	mix_3 Unique Spectral Count	mix_1 Total Spectral Count	mix_2 Total Spectral Count	mix_3 Total Spectral Count	mix_1 Intensity	mix_2 Intensity	mix_3 Intensity	mix_1 Unique Intensity	mix_2 Unique Intensity	mix_3 Unique Intensity	mix_1 Total Intensity	mix_2 Total Intensity	mix_3 Total Intensity	Indistinguishable Proteins
sp|A2RUS2|DEND3_HUMAN	A2RUS2	DEND3_HUMAN	DENND3	1198	3.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	DENN domain-containing protein 3 	1.0000	0.9941	4	4	4	4	4	0	0	4	0	0	4	0	0	5168567	     0	     0	5168567	     0	     0	5168567	     0	     0		
sp|A4D1P6|WDR91_HUMAN	A4D1P6	WDR91_HUMAN	WDR91	747	4.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	WD repeat-containing protein 91 	1.0000	0.9990	3	4	4	4	3	1	0	3	1	0	3	1	0	5576534	1611224	     0	5576534	1611224	     0	5576534	1611224	     0		
sp|A5PLN9|TPC13_HUMAN	A5PLN9	TPC13_HUMAN	TRAPPC13	417	6.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Trafficking protein particle complex subunit 13 	1.0000	0.9990	3	4	4	4	3	1	0	3	1	0	3	1	0	8325084	2654104	     0	8325084	2654104	     0	8325084	2654104	     0		
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	6.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1 	1.0000	0.9990	13	19	19	19	11	4	4	11	4	4	11	4	4	13219464	5095134	3756379	13219464	5095134	3756379	13219464	5095134	3756379		
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	38.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glycerol-3-phosphate phosphatase 	1.0000	0.9990	10	26	26	26	10	9	7	10	9	7	10	9	7	17337388	26623630	14941114	17337388	26623630	14941114	17337388	26623630	14941114		
sp|A6NDU8|CE051_HUMAN	A6NDU8	CE051_HUMAN	C5orf51	294	17.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	UPF0600 protein C5orf51 	1.0000	0.9990	3	3	3	3	3	0	0	3	0	0	3	0	0	31561719	     0	     0	31561719	     0	     0	31561719	     0	     0		
sp|A6NE02|BTBDH_HUMAN	A6NE02	BTBDH_HUMAN	BTBD17	478	26.40	Homo sapiens OX=9606	3:Protein inferred from homology	BTB/POZ domain-containing protein 17 	1.0000	0.9990	9	10	10	10	9	1	0	9	1	0	9	1	0	59409127	2169626	     0	59409127	2169626	     0	59409127	2169626	     0		
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	4.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 	1.0000	0.9990	7	7	7	7	6	0	1	6	0	1	6	0	1	7979791	     0	1338326	7979791	     0	1338326	7979791	     0	1338326		
sp|A6NNZ2|TBB8B_HUMAN	A6NNZ2	TBB8B_HUMAN	TUBB8B	444	54.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tubulin beta 8B 	1.0000	0.9990	48	6	6	418	2	4	0	2	4	0	151	158	109	2745753	6232895	     0	2745753	6232895	     0	3042815232	2332530944	2315133616		
sp|A8MUU1|FB5L3_HUMAN	A8MUU1	FB5L3_HUMAN	FABP5P3	101	47.50	Homo sapiens OX=9606	5:Protein uncertain	Putative fatty acid-binding protein 5-like protein 3 	1.0000	0.9990	5	14	14	32	3	5	6	3	5	6	17	6	9	7856444	5507834	2549767	7856444	5507834	2549767	53170499	6757613	7534481		
sp|A8MWD9|RUXGL_HUMAN	A8MWD9	RUXGL_HUMAN	SNRPGP15	76	35.50	Homo sapiens OX=9606	5:Protein uncertain	Putative small nuclear ribonucleoprotein G-like protein 15 	1.0000	0.9990	4	10	0	10	6	3	1	0	0	0	6	3	1	85000477	21949418	12496905	     0	     0	     0	85000477	21949418	12496905	sp|P62308|RUXG_HUMAN	
sp|B5ME19|EIFCL_HUMAN	B5ME19	EIFCL_HUMAN	EIF3CL	914	20.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit C-like protein 	1.0000	0.9990	17	35	0	35	18	10	7	0	0	0	18	10	7	34556960	37268458	23871626	     0	     0	     0	34556960	37268458	23871626	sp|Q99613|EIF3C_HUMAN	
sp|B7ZAQ6|GPHRA_HUMAN	B7ZAQ6	GPHRA_HUMAN	GPR89A	455	5.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Golgi pH regulator A 	1.0000	0.9990	2	4	0	4	3	1	0	0	0	0	3	1	0	3350365	857984	     0	     0	     0	     0	3350365	857984	     0	sp|P0CG08|GPHRB_HUMAN	
sp|Biognosys_pep-b|iRT-Kit_WR_fusion	Biognosys_pep-b	iRT-Kit_WR_fusion		0	100.00				1.0000	0.9990	3	19	19	19	5	8	6	5	8	6	5	8	6	174428588	148831936	172953848	174428588	148831936	172953848	174428588	148831936	172953848		
sp|Biognosys_pep-d|iRT-Kit_WR_fusion	Biognosys_pep-d	iRT-Kit_WR_fusion		0	100.00				1.0000	0.9990	2	26	26	26	6	9	11	6	9	11	6	9	11	130019543	59924752	71435494	130019543	59924752	71435494	130019543	59924752	71435494		
sp|Biognosys_pep-e|iRT-Kit_WR_fusion	Biognosys_pep-e	iRT-Kit_WR_fusion		0	100.00				1.0000	0.9990	1	37	37	37	12	14	11	12	14	11	12	14	11	221970536	120138776	135968670	221970536	120138776	135968670	221970536	120138776	135968670		
sp|Biognosys_pep-f|iRT-Kit_WR_fusion	Biognosys_pep-f	iRT-Kit_WR_fusion		0	100.00				1.0000	0.9990	1	26	26	26	10	11	5	10	11	5	10	11	5	132527604	173262017	90794584	132527604	173262017	90794584	132527604	173262017	90794584		
sp|Biognosys_pep-g|iRT-Kit_WR_fusion	Biognosys_pep-g	iRT-Kit_WR_fusion		0	100.00				1.0000	0.9990	1	58	58	58	12	21	25	12	21	25	12	21	25	155225624	111797786	143328292	155225624	111797786	143328292	155225624	111797786	143328292		
sp|Biognosys_pep-i|iRT-Kit_WR_fusion	Biognosys_pep-i	iRT-Kit_WR_fusion		0	100.00				1.0000	0.9990	1	20	20	20	8	7	5	8	7	5	8	7	5	31320572	51021328	43375861	31320572	51021328	43375861	31320572	51021328	43375861		
sp|Biognosys_pep-k|iRT-Kit_WR_fusion	Biognosys_pep-k	iRT-Kit_WR_fusion		0	100.00				1.0000	0.9990	2	25	25	25	11	7	7	11	7	7	11	7	7	66910981	32409334	32841174	66910981	32409334	32841174	66910981	32409334	32841174		
sp|C9JLW8|MCRI1_HUMAN	C9JLW8	MCRI1_HUMAN	MCRIP1	97	54.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mapk-regulated corepressor-interacting protein 1 	1.0000	0.9990	4	9	9	9	4	3	2	4	3	2	4	3	2	10692760	13795360	15708109	10692760	13795360	15708109	10692760	13795360	15708109		
sp|O00115|DNS2A_HUMAN	O00115	DNS2A_HUMAN	DNASE2	360	15.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Deoxyribonuclease-2-alpha 	1.0000	0.9990	5	10	10	10	5	2	3	5	2	3	5	2	3	15510250	9168276	23294247	15510250	9168276	23294247	15510250	9168276	23294247		
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	31.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alkyldihydroxyacetonephosphate synthase, peroxisomal 	1.0000	0.9990	15	22	22	22	17	3	2	17	3	2	17	3	2	17130324	8344794	4985210	17130324	8344794	4985210	17130324	8344794	4985210		
sp|O00142|KITM_HUMAN	O00142	KITM_HUMAN	TK2	265	14.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Thymidine kinase 2, mitochondrial 	1.0000	0.9990	4	4	4	4	2	2	0	2	2	0	2	2	0	3473096	1760095	     0	3473096	1760095	     0	3473096	1760095	     0		
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	37.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX39A 	1.0000	0.9990	12	3	3	36	3	0	0	3	0	0	13	10	13	7781479	     0	     0	7781479	     0	     0	117652270	50527622	74286341		
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	59.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	PDZ and LIM domain protein 1 	1.0000	0.9990	15	27	27	27	16	5	6	16	5	6	16	5	6	31074669	5012102	11267749	31074669	5012102	11267749	31074669	5012102	11267749		
sp|O00160|MYO1F_HUMAN	O00160	MYO1F_HUMAN	MYO1F	1098	18.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Unconventional myosin-If 	1.0000	0.9990	17	22	19	22	15	1	6	13	1	5	15	1	6	17293963	341477	17184872	17151572	341477	16871171	17293963	341477	17184872		
sp|O00161|SNP23_HUMAN	O00161	SNP23_HUMAN	SNAP23	211	65.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Synaptosomal-associated protein 23 	1.0000	0.9990	12	25	25	25	14	6	5	14	6	5	14	6	5	14345550	4794492	8717185	14345550	4794492	8717185	14345550	4794492	8717185		
sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	31.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	AH receptor-interacting protein 	1.0000	0.9990	8	12	12	12	5	5	2	5	5	2	5	5	2	3809518	4400237	1455316	3809518	4400237	1455316	3809518	4400237	1455316		
sp|O00178|GTPB1_HUMAN	O00178	GTPB1_HUMAN	GTPBP1	669	15.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTP-binding protein 1 	1.0000	0.9990	8	11	11	11	7	4	0	7	4	0	7	4	0	3916908	2633292	     0	3916908	2633292	     0	3916908	2633292	     0		
sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	27.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Syntaxin-binding protein 3 	1.0000	0.9990	17	32	32	32	17	9	6	17	9	6	17	9	6	285106776	118431750	11803148	285106776	118431750	11803148	285106776	118431750	11803148		
sp|O00192|ARVC_HUMAN	O00192	ARVC_HUMAN	ARVCF	962	10.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Armadillo repeat protein deleted in velo-cardio-facial syndrome 	1.0000	0.9990	6	9	9	9	4	3	2	4	3	2	4	3	2	2985884	4540131	13259480	2985884	4540131	13259480	2985884	4540131	13259480		
sp|O00193|SMAP_HUMAN	O00193	SMAP_HUMAN	SMAP	183	20.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Small acidic protein 	1.0000	0.9990	4	11	11	11	3	2	6	3	2	6	3	2	6	71333009	23109118	106542842	71333009	23109118	106542842	71333009	23109118	106542842		
sp|O00203|AP3B1_HUMAN	O00203	AP3B1_HUMAN	AP3B1	1094	17.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	AP-3 complex subunit beta-1 	1.0000	0.9990	18	20	20	28	12	4	4	12	4	4	15	8	5	31177796	27439617	14394940	31177796	27439617	14394940	37481372	42843754	14394940		
sp|O00213|APBB1_HUMAN	O00213	APBB1_HUMAN	APBB1	710	6.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Amyloid-beta A4 precursor protein-binding family B member 1 	1.0000	0.9990	3	4	4	4	2	2	0	2	2	0	2	2	0	922267	1092161	     0	922267	1092161	     0	922267	1092161	     0		
sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	210	36.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial 	1.0000	0.9990	9	26	26	26	9	14	3	9	14	3	9	14	3	36731650	66329040	23788872	36731650	66329040	23788872	36731650	66329040	23788872		
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	48.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 11 	1.0000	0.9990	20	57	57	57	20	19	18	20	19	18	20	19	18	63198153	30296301	46734036	63198153	30296301	46734036	63198153	30296301	46734036		
sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	456	45.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 12 	1.0000	0.9990	18	33	33	33	16	11	6	16	11	6	16	11	6	30148854	13309283	29066246	30148854	13309283	29066246	30148854	13309283	29066246		
sp|O00233|PSMD9_HUMAN	O00233	PSMD9_HUMAN	PSMD9	223	44.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 9 	1.0000	0.9990	12	32	32	32	14	11	7	14	11	7	14	11	7	64110624	44847883	44604292	64110624	44847883	44604292	64110624	44847883	44604292		
sp|O00244|ATOX1_HUMAN	O00244	ATOX1_HUMAN	ATOX1	68	50.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Copper transport protein ATOX1 	1.0000	0.9990	5	16	16	16	6	6	4	6	6	4	6	6	4	154932509	81641828	38421275	154932509	81641828	38421275	154932509	81641828	38421275		
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	48.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Membrane-associated progesterone receptor component 1 	1.0000	0.9990	10	33	33	33	12	12	9	12	12	9	12	12	9	228743495	207115769	305115075	228743495	207115769	305115075	228743495	207115769	305115075		
sp|O00273|DFFA_HUMAN	O00273	DFFA_HUMAN	DFFA	331	37.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA fragmentation factor subunit alpha 	1.0000	0.9990	11	18	18	18	12	5	1	12	5	1	12	5	1	32254042	5093301	     0	32254042	5093301	     0	32254042	5093301	     0		
sp|O00291|HIP1_HUMAN	O00291	HIP1_HUMAN	HIP1	1037	30.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Huntingtin-interacting protein 1 	1.0000	0.9990	26	37	36	37	24	6	7	23	6	7	24	6	7	52688316	10222447	23623654	52688316	10222447	23623654	52688316	10222447	23623654		
sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	357	32.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit F 	1.0000	0.9990	11	30	30	30	14	9	7	14	9	7	14	9	7	27119858	12071773	14992731	27119858	12071773	14992731	27119858	12071773	14992731		
sp|O00308|WWP2_HUMAN	O00308	WWP2_HUMAN	WWP2	870	4.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	NEDD4-like E3 ubiquitin-protein ligase WWP2 	1.0000	0.9976	3	4	4	4	2	1	1	2	1	1	2	1	1	1191087	600002	625638	1191087	600002	625638	1191087	600002	625638		
sp|O00330|ODPX_HUMAN	O00330	ODPX_HUMAN	PDHX	501	20.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pyruvate dehydrogenase protein X component, mitochondrial 	1.0000	0.9990	10	23	23	23	9	12	2	9	12	2	9	12	2	21111064	16193452	6702984	21111064	16193452	6702984	21111064	16193452	6702984		
sp|O00399|DCTN6_HUMAN	O00399	DCTN6_HUMAN	DCTN6	190	35.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dynactin subunit 6 	1.0000	0.9990	6	10	10	10	5	3	2	5	3	2	5	3	2	12810262	27270973	6268805	12810262	27270973	6268805	12810262	27270973	6268805		
sp|O00401|WASL_HUMAN	O00401	WASL_HUMAN	WASL	505	30.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Neural Wiskott-Aldrich syndrome protein 	1.0000	0.9990	12	21	21	21	11	4	6	11	4	6	11	4	6	36944826	18591110	22456593	36944826	18591110	22456593	36944826	18591110	22456593		
sp|O00408|PDE2A_HUMAN	O00408	PDE2A_HUMAN	PDE2A	941	23.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	cGMP-dependent 3',5'-cyclic phosphodiesterase 	1.0000	0.9990	20	38	38	40	13	22	3	13	22	3	13	23	4	12003712	134024836	3461475	12003712	134024836	3461475	12003712	134905518	14086594		
sp|O00410|IPO5_HUMAN	O00410	IPO5_HUMAN	IPO5	1097	41.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Importin-5 	1.0000	0.9990	32	76	70	76	35	20	21	35	17	18	35	20	21	51348972	74255816	58451862	51348972	13691540	48091842	51348972	74255816	58451862		
sp|O00422|SAP18_HUMAN	O00422	SAP18_HUMAN	SAP18	153	29.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone deacetylase complex subunit SAP18 	1.0000	0.9990	4	9	9	9	4	2	3	4	2	3	4	2	3	23307426	2386648	3519501	23307426	2386648	3519501	23307426	2386648	3519501		
sp|O00423|EMAL1_HUMAN	O00423	EMAL1_HUMAN	EML1	815	5.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Echinoderm microtubule-associated protein-like 1 	1.0000	0.9990	5	5	5	5	3	1	1	3	1	1	3	1	1	4594484	767337	1647904	4594484	767337	1647904	4594484	767337	1647904		
sp|O00429|DNM1L_HUMAN	O00429	DNM1L_HUMAN	DNM1L	736	50.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dynamin-1-like protein 	1.0000	0.9990	29	89	89	89	32	40	17	32	40	17	32	40	17	106589218	103042496	144120120	106589218	103042496	144120120	106589218	103042496	144120120		
sp|O00442|RTCA_HUMAN	O00442	RTCA_HUMAN	RTCA	366	29.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA 3'-terminal phosphate cyclase 	1.0000	0.9990	7	15	15	15	8	4	3	8	4	3	8	4	3	24397068	17479636	5292762	24397068	17479636	5292762	24397068	17479636	5292762		
sp|O00461|GOLI4_HUMAN	O00461	GOLI4_HUMAN	GOLIM4	696	5.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Golgi integral membrane protein 4 	1.0000	0.9990	4	7	7	7	4	0	3	4	0	3	4	0	3	9446959	     0	15871069	9446959	     0	15871069	9446959	     0	15871069		
sp|O00468|AGRIN_HUMAN	O00468	AGRIN_HUMAN	AGRN	2068	28.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Agrin 	1.0000	0.9990	42	82	82	82	52	15	15	52	15	15	52	15	15	55884276	18138919	43912747	55884276	18138919	43912747	55884276	18138919	43912747		
sp|O00469|PLOD2_HUMAN	O00469	PLOD2_HUMAN	PLOD2	737	30.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 	1.0000	0.9990	20	37	37	40	13	11	13	13	11	13	13	12	15	23886098	9359892	35011597	23886098	9359892	35011597	23886098	9359892	35011597		
sp|O00471|EXOC5_HUMAN	O00471	EXOC5_HUMAN	EXOC5	708	16.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Exocyst complex component 5 	1.0000	0.9990	11	16	16	16	11	3	2	11	3	2	11	3	2	8332622	3739278	10272297	8332622	3739278	10272297	8332622	3739278	10272297		
sp|O00479|HMGN4_HUMAN	O00479	HMGN4_HUMAN	HMGN4	90	57.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	High mobility group nucleosome-binding domain-containing protein 4 	1.0000	0.9990	9	30	30	43	8	8	14	8	8	14	13	10	20	63675961	39677412	72040246	63675961	39677412	72040246	588317172	80946566	587701832		
sp|O00483|NDUA4_HUMAN	O00483	NDUA4_HUMAN	NDUFA4	81	55.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome c oxidase subunit NDUFA4 	1.0000	0.9990	5	39	39	39	10	18	11	10	18	11	10	18	11	217258680	229617068	93903678	217258680	229617068	93903678	217258680	229617068	93903678		
sp|O00487|PSDE_HUMAN	O00487	PSDE_HUMAN	PSMD14	310	42.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 14 	1.0000	0.9990	10	21	21	21	9	7	5	9	7	5	9	7	5	34740593	28407598	12321580	34740593	28407598	12321580	34740593	28407598	12321580		
sp|O00499|BIN1_HUMAN	O00499	BIN1_HUMAN	BIN1	593	54.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Myc box-dependent-interacting protein 1 	1.0000	0.9990	35	191	183	191	59	84	48	56	81	46	59	84	48	445299444	161292292	101437770	437018376	161292292	90920874	445299444	161292292	101437770		
sp|O00505|IMA4_HUMAN	O00505	IMA4_HUMAN	KPNA3	521	11.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Importin subunit alpha-4 	1.0000	0.9990	6	6	6	18	2	1	3	2	1	3	8	3	7	6440748	980052	3059151	6440748	980052	3059151	18773682	13633028	9992560		
sp|O00519|FAAH1_HUMAN	O00519	FAAH1_HUMAN	FAAH	579	14.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Fatty-acid amide hydrolase 1 	1.0000	0.9990	5	6	6	6	4	2	0	4	2	0	4	2	0	6121913	1487769	     0	6121913	1487769	     0	6121913	1487769	     0		
sp|O00533|NCHL1_HUMAN	O00533	NCHL1_HUMAN	CHL1	1208	31.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Neural cell adhesion molecule L1-like protein 	1.0000	0.9990	29	82	82	82	32	29	21	32	29	21	32	29	21	62312929	58142081	35489066	62312929	58142081	35489066	62312929	58142081	35489066		
sp|O00534|VMA5A_HUMAN	O00534	VMA5A_HUMAN	VWA5A	786	22.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	von Willebrand factor A domain-containing protein 5A 	1.0000	0.9990	15	26	26	26	13	5	8	13	5	8	13	5	8	16654594	11831190	9069640	16654594	11831190	9069640	16654594	11831190	9069640		
sp|O00541|PESC_HUMAN	O00541	PESC_HUMAN	PES1	588	10.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pescadillo homolog 	1.0000	0.9990	6	8	8	8	5	1	2	5	1	2	5	1	2	3610979	747400	3758321	3610979	747400	3758321	3610979	747400	3758321		
sp|O00567|NOP56_HUMAN	O00567	NOP56_HUMAN	NOP56	594	31.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleolar protein 56 	1.0000	0.9990	15	26	26	26	15	4	7	15	4	7	15	4	7	10660402	6158429	13034748	10660402	6158429	13034748	10660402	6158429	13034748		
sp|O00584|RNT2_HUMAN	O00584	RNT2_HUMAN	RNASET2	256	25.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ribonuclease T2 	1.0000	0.9990	6	17	17	17	6	4	7	6	4	7	6	4	7	15624274	9807870	28131906	15624274	9807870	28131906	15624274	9807870	28131906		
sp|O00592|PODXL_HUMAN	O00592	PODXL_HUMAN	PODXL	558	9.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Podocalyxin 	1.0000	0.9990	6	13	13	13	7	1	5	7	1	5	7	1	5	22720536	5403836	21139463	22720536	5403836	21139463	22720536	5403836	21139463		
sp|O00625|PIR_HUMAN	O00625	PIR_HUMAN	PIR	290	23.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pirin 	1.0000	0.9990	6	13	13	13	6	5	2	6	5	2	6	5	2	12477393	10455072	2754919	12477393	10455072	2754919	12477393	10455072	2754919		
