Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	mix_1 Spectral Count	mix_2 Spectral Count	mix_3 Spectral Count	mix_1 Unique Spectral Count	mix_2 Unique Spectral Count	mix_3 Unique Spectral Count	mix_1 Total Spectral Count	mix_2 Total Spectral Count	mix_3 Total Spectral Count	mix_1 Intensity	mix_2 Intensity	mix_3 Intensity	mix_1 Unique Intensity	mix_2 Unique Intensity	mix_3 Unique Intensity	mix_1 Total Intensity	mix_2 Total Intensity	mix_3 Total Intensity	Indistinguishable Proteins
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	38.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glycerol-3-phosphate phosphatase 	1.0000	0.9990	10	25	25	25	10	8	7	10	8	7	10	8	7	17337388	26623630	14941114	17337388	26623630	14941114	17337388	26623630	14941114		
sp|A6NDU8|CE051_HUMAN	A6NDU8	CE051_HUMAN	C5orf51	294	17.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	UPF0600 protein C5orf51 	1.0000	0.9990	3	3	3	3	3	0	0	3	0	0	3	0	0	31561719	     0	     0	31561719	     0	     0	31561719	     0	     0		
sp|A6NE02|BTBDH_HUMAN	A6NE02	BTBDH_HUMAN	BTBD17	478	19.50	Homo sapiens OX=9606	3:Protein inferred from homology	BTB/POZ domain-containing protein 17 	1.0000	0.9990	7	8	8	8	7	1	0	7	1	0	7	1	0	27935016	2169626	     0	27935016	2169626	     0	27935016	2169626	     0		
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	2.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 	1.0000	0.9990	5	5	5	5	5	0	0	5	0	0	5	0	0	6814375	     0	     0	6814375	     0	     0	6814375	     0	     0		
sp|A6NHX0|CAST2_HUMAN	A6NHX0	CAST2_HUMAN	CASTOR2	329	13.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytosolic arginine sensor for mTORC1 subunit 2 	1.0000	0.9990	3	3	3	3	1	2	0	1	2	0	1	2	0	3834825	1037607	     0	3834825	1037607	     0	3834825	1037607	     0		
sp|A8MWD9|RUXGL_HUMAN	A8MWD9	RUXGL_HUMAN	SNRPGP15	76	35.50	Homo sapiens OX=9606	5:Protein uncertain	Putative small nuclear ribonucleoprotein G-like protein 15 	1.0000	0.9990	4	11	0	11	6	3	2	0	0	0	6	3	2	85000477	21949418	13352175	     0	     0	     0	85000477	21949418	13352175	sp|P62308|RUXG_HUMAN	
sp|B5ME19|EIFCL_HUMAN	B5ME19	EIFCL_HUMAN	EIF3CL	914	18.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit C-like protein 	1.0000	0.9990	16	32	0	32	17	8	7	0	0	0	17	8	7	34556960	15071221	23871626	     0	     0	     0	34556960	15071221	23871626	sp|Q99613|EIF3C_HUMAN	
sp|B7ZAQ6|GPHRA_HUMAN	B7ZAQ6	GPHRA_HUMAN	GPR89A	455	5.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Golgi pH regulator A 	1.0000	0.9990	2	4	0	4	3	1	0	0	0	0	3	1	0	3350365	857984	     0	     0	     0	     0	3350365	857984	     0	sp|P0CG08|GPHRB_HUMAN	
sp|Biognosys_pep-b|iRT-Kit_WR_fusion	Biognosys_pep-b	iRT-Kit_WR_fusion		0	100.00				1.0000	0.9990	1	15	15	15	5	5	5	5	5	5	5	5	5	174428588	142184202	171626797	174428588	142184202	171626797	174428588	142184202	171626797		
sp|Biognosys_pep-d|iRT-Kit_WR_fusion	Biognosys_pep-d	iRT-Kit_WR_fusion		0	100.00				1.0000	0.9990	1	24	24	24	5	9	10	5	9	10	5	9	10	130019543	57183498	65751261	130019543	57183498	65751261	130019543	57183498	65751261		
sp|Biognosys_pep-e|iRT-Kit_WR_fusion	Biognosys_pep-e	iRT-Kit_WR_fusion		0	100.00				1.0000	0.9990	1	38	38	38	13	15	10	13	15	10	13	15	10	221970536	120138776	135968670	221970536	120138776	135968670	221970536	120138776	135968670		
sp|Biognosys_pep-f|iRT-Kit_WR_fusion	Biognosys_pep-f	iRT-Kit_WR_fusion		0	100.00				1.0000	0.9990	1	26	26	26	10	11	5	10	11	5	10	11	5	132527604	173262017	90794584	132527604	173262017	90794584	132527604	173262017	90794584		
sp|Biognosys_pep-g|iRT-Kit_WR_fusion	Biognosys_pep-g	iRT-Kit_WR_fusion		0	100.00				1.0000	0.9990	1	57	57	57	12	20	25	12	20	25	12	20	25	155225624	111797786	143328292	155225624	111797786	143328292	155225624	111797786	143328292		
sp|Biognosys_pep-i|iRT-Kit_WR_fusion	Biognosys_pep-i	iRT-Kit_WR_fusion		0	100.00				1.0000	0.9990	1	20	20	20	8	7	5	8	7	5	8	7	5	31320572	51021328	43375861	31320572	51021328	43375861	31320572	51021328	43375861		
sp|Biognosys_pep-k|iRT-Kit_WR_fusion	Biognosys_pep-k	iRT-Kit_WR_fusion		0	100.00				1.0000	0.9990	1	23	23	23	11	5	7	11	5	7	11	5	7	66910981	31618752	32841174	66910981	31618752	32841174	66910981	31618752	32841174		
sp|C9JLW8|MCRI1_HUMAN	C9JLW8	MCRI1_HUMAN	MCRIP1	97	54.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mapk-regulated corepressor-interacting protein 1 	1.0000	0.9990	4	8	8	8	4	2	2	4	2	2	4	2	2	10692760	12787672	15708109	10692760	12787672	15708109	10692760	12787672	15708109		
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	3.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nascent polypeptide-associated complex subunit alpha, muscle-specific form 	1.0000	0.9990	5	32	32	32	9	11	12	9	11	12	9	11	12	114656498	32956165	18899724	114656498	32956165	18899724	114656498	32956165	18899724		
sp|O00115|DNS2A_HUMAN	O00115	DNS2A_HUMAN	DNASE2	360	10.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Deoxyribonuclease-2-alpha 	1.0000	0.9990	4	8	8	8	4	1	3	4	1	3	4	1	3	15510250	3671249	23294247	15510250	3671249	23294247	15510250	3671249	23294247		
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	30.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alkyldihydroxyacetonephosphate synthase, peroxisomal 	1.0000	0.9990	14	20	20	20	15	3	2	15	3	2	15	3	2	17130324	8344794	4985210	17130324	8344794	4985210	17130324	8344794	4985210		
sp|O00142|KITM_HUMAN	O00142	KITM_HUMAN	TK2	265	14.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Thymidine kinase 2, mitochondrial 	1.0000	0.9990	4	4	4	4	2	2	0	2	2	0	2	2	0	3473096	1760095	     0	3473096	1760095	     0	3473096	1760095	     0		
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	27.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX39A 	1.0000	0.9990	12	3	3	36	2	0	1	2	0	1	12	10	14	6041150	     0	3475156	6041150	     0	3475156	117652270	50527622	74286341		
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	46.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	PDZ and LIM domain protein 1 	1.0000	0.9990	13	19	19	19	10	4	5	10	4	5	10	4	5	23223618	4847722	11267749	23223618	4847722	11267749	23223618	4847722	11267749		
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	10.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Unconventional myosin-Ic 	1.0000	0.9990	9	9	9	9	7	1	1	7	1	1	7	1	1	5683559	414288	4977858	5683559	414288	4977858	5683559	414288	4977858		
sp|O00160|MYO1F_HUMAN	O00160	MYO1F_HUMAN	MYO1F	1098	14.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Unconventional myosin-If 	1.0000	0.9990	15	21	19	21	14	1	6	12	1	6	14	1	6	59275917	341477	17184872	59133526	341477	17184872	59275917	341477	17184872		
sp|O00161|SNP23_HUMAN	O00161	SNP23_HUMAN	SNAP23	211	62.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Synaptosomal-associated protein 23 	1.0000	0.9990	10	20	20	20	12	4	4	12	4	4	12	4	4	14345550	4400904	5512803	14345550	4400904	5512803	14345550	4400904	5512803		
sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	24.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	AH receptor-interacting protein 	1.0000	0.9990	6	10	10	10	4	4	2	4	4	2	4	4	2	3681917	4280244	1455316	3681917	4280244	1455316	3681917	4280244	1455316		
sp|O00178|GTPB1_HUMAN	O00178	GTPB1_HUMAN	GTPBP1	669	14.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTP-binding protein 1 	1.0000	0.9990	7	11	11	11	7	4	0	7	4	0	7	4	0	3916908	2799608	     0	3916908	2799608	     0	3916908	2799608	     0		
sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	21.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Syntaxin-binding protein 3 	1.0000	0.9990	13	25	25	25	14	7	4	14	7	4	14	7	4	201200985	11991702	5216373	201200985	11991702	5216373	201200985	11991702	5216373		
sp|O00192|ARVC_HUMAN	O00192	ARVC_HUMAN	ARVCF	962	5.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Armadillo repeat protein deleted in velo-cardio-facial syndrome 	1.0000	0.9990	4	7	7	7	2	3	2	2	3	2	2	3	2	2000327	4540131	5606917	2000327	4540131	5606917	2000327	4540131	5606917		
sp|O00193|SMAP_HUMAN	O00193	SMAP_HUMAN	SMAP	183	20.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Small acidic protein 	1.0000	0.9990	4	11	11	11	3	2	6	3	2	6	3	2	6	71333009	23109118	106542842	71333009	23109118	106542842	71333009	23109118	106542842		
sp|O00194|RB27B_HUMAN	O00194	RB27B_HUMAN	RAB27B	218	32.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras-related protein Rab-27B 	1.0000	0.9990	5	8	6	8	3	5	0	2	4	0	3	5	0	4854926	3788345	     0	694423	2583389	     0	4854926	3788345	     0		
sp|O00203|AP3B1_HUMAN	O00203	AP3B1_HUMAN	AP3B1	1094	14.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	AP-3 complex subunit beta-1 	1.0000	0.9990	15	18	18	25	10	4	4	10	4	4	12	8	5	31177796	27439617	14394940	31177796	27439617	14394940	37481372	42843754	14394940		
sp|O00213|APBB1_HUMAN	O00213	APBB1_HUMAN	APBB1	710	6.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Amyloid-beta A4 precursor protein-binding family B member 1 	1.0000	0.9990	3	4	4	4	2	2	0	2	2	0	2	2	0	922267	1092161	     0	922267	1092161	     0	922267	1092161	     0		
sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	210	36.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial 	1.0000	0.9990	9	27	27	27	9	14	4	9	14	4	9	14	4	36731650	53325426	28454711	36731650	53325426	28454711	36731650	53325426	28454711		
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	48.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 11 	1.0000	0.9990	20	51	51	51	20	17	14	20	17	14	20	17	14	63198153	21449750	18618884	63198153	21449750	18618884	63198153	21449750	18618884		
sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	456	41.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 12 	1.0000	0.9990	17	34	34	34	15	14	5	15	14	5	15	14	5	30148854	35622180	29066246	30148854	35622180	29066246	30148854	35622180	29066246		
sp|O00233|PSMD9_HUMAN	O00233	PSMD9_HUMAN	PSMD9	223	44.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 9 	1.0000	0.9990	11	29	29	29	13	10	6	13	10	6	13	10	6	64110624	44847883	44604292	64110624	44847883	44604292	64110624	44847883	44604292		
sp|O00244|ATOX1_HUMAN	O00244	ATOX1_HUMAN	ATOX1	68	50.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Copper transport protein ATOX1 	1.0000	0.9990	4	15	15	15	5	6	4	5	6	4	5	6	4	141242740	81641828	38421275	141242740	81641828	38421275	141242740	81641828	38421275		
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	32.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Membrane-associated progesterone receptor component 1 	1.0000	0.9990	9	43	43	43	13	17	13	13	17	13	13	17	13	231786654	240999360	392642574	231786654	240999360	392642574	231786654	240999360	392642574		
sp|O00267|SPT5H_HUMAN	O00267	SPT5H_HUMAN	SUPT5H	1087	5.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription elongation factor SPT5 	1.0000	0.9990	4	6	6	6	3	1	2	3	1	2	3	1	2	31126260	3169198	12250591	31126260	3169198	12250591	31126260	3169198	12250591		
sp|O00273|DFFA_HUMAN	O00273	DFFA_HUMAN	DFFA	331	37.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA fragmentation factor subunit alpha 	1.0000	0.9990	10	17	17	17	11	5	1	11	5	1	11	5	1	32254042	5093301	1030453	32254042	5093301	1030453	32254042	5093301	1030453		
sp|O00291|HIP1_HUMAN	O00291	HIP1_HUMAN	HIP1	1037	26.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Huntingtin-interacting protein 1 	1.0000	0.9990	25	40	39	40	22	10	8	21	10	8	22	10	8	56035608	17947516	24810152	56035608	17947516	24810152	56035608	17947516	24810152		
sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	80.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Chloride intracellular channel protein 1 	1.0000	0.9990	16	65	65	65	21	17	27	21	17	27	21	17	27	150918388	129898398	145389228	150918388	129898398	145389228	150918388	129898398	145389228		
sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	357	32.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit F 	1.0000	0.9990	10	27	27	27	12	7	8	12	7	8	12	7	8	27119858	12071773	14992731	27119858	12071773	14992731	27119858	12071773	14992731		
sp|O00330|ODPX_HUMAN	O00330	ODPX_HUMAN	PDHX	501	19.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pyruvate dehydrogenase protein X component, mitochondrial 	1.0000	0.9990	9	21	21	21	8	13	0	8	13	0	8	13	0	21111064	16193452	     0	21111064	16193452	     0	21111064	16193452	     0		
sp|O00399|DCTN6_HUMAN	O00399	DCTN6_HUMAN	DCTN6	190	35.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dynactin subunit 6 	1.0000	0.9990	6	10	10	10	5	3	2	5	3	2	5	3	2	12810262	27270973	6268805	12810262	27270973	6268805	12810262	27270973	6268805		
sp|O00401|WASL_HUMAN	O00401	WASL_HUMAN	WASL	505	24.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Neural Wiskott-Aldrich syndrome protein 	1.0000	0.9990	10	17	17	17	9	4	4	9	4	4	9	4	4	36944826	18591110	22456593	36944826	18591110	22456593	36944826	18591110	22456593		
sp|O00408|PDE2A_HUMAN	O00408	PDE2A_HUMAN	PDE2A	941	22.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	cGMP-dependent 3',5'-cyclic phosphodiesterase 	1.0000	0.9990	19	35	35	37	11	20	4	11	20	4	11	21	5	12003712	134024836	10719216	12003712	134024836	10719216	12003712	134905518	20332972		
sp|O00410|IPO5_HUMAN	O00410	IPO5_HUMAN	IPO5	1097	37.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Importin-5 	1.0000	0.9990	30	64	59	64	31	17	16	30	16	13	31	17	16	51348972	87859045	41027704	51348972	85254996	35153412	51348972	87859045	41027704		
sp|O00422|SAP18_HUMAN	O00422	SAP18_HUMAN	SAP18	153	56.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone deacetylase complex subunit SAP18 	1.0000	0.9990	8	16	16	16	5	3	8	5	3	8	5	3	8	23453624	7504036	27309057	23453624	7504036	27309057	23453624	7504036	27309057		
sp|O00423|EMAL1_HUMAN	O00423	EMAL1_HUMAN	EML1	815	5.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Echinoderm microtubule-associated protein-like 1 	1.0000	0.9990	5	5	5	5	3	1	1	3	1	1	3	1	1	4594484	767337	1647904	4594484	767337	1647904	4594484	767337	1647904		
sp|O00425|IF2B3_HUMAN	O00425	IF2B3_HUMAN	IGF2BP3	579	19.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Insulin-like growth factor 2 mRNA-binding protein 3 	1.0000	0.9990	9	12	9	12	9	2	1	8	1	0	9	2	1	20877260	916056	1785438	20138764	     0	     0	20877260	916056	1785438		
sp|O00429|DNM1L_HUMAN	O00429	DNM1L_HUMAN	DNM1L	736	48.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dynamin-1-like protein 	1.0000	0.9990	29	79	79	79	30	37	12	30	37	12	30	37	12	106589218	94051040	144120120	106589218	94051040	144120120	106589218	94051040	144120120		
sp|O00442|RTCA_HUMAN	O00442	RTCA_HUMAN	RTCA	366	27.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA 3'-terminal phosphate cyclase 	1.0000	0.9990	7	13	13	13	6	4	3	6	4	3	6	4	3	24397068	17479636	6279608	24397068	17479636	6279608	24397068	17479636	6279608		
sp|O00461|GOLI4_HUMAN	O00461	GOLI4_HUMAN	GOLIM4	696	6.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Golgi integral membrane protein 4 	1.0000	0.9990	4	6	6	6	3	0	3	3	0	3	3	0	3	9446959	     0	18272270	9446959	     0	18272270	9446959	     0	18272270		
sp|O00468|AGRIN_HUMAN	O00468	AGRIN_HUMAN	AGRN	2068	24.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Agrin 	1.0000	0.9990	37	71	71	71	44	15	12	44	15	12	44	15	12	55884276	29911236	43912747	55884276	29911236	43912747	55884276	29911236	43912747		
sp|O00469|PLOD2_HUMAN	O00469	PLOD2_HUMAN	PLOD2	737	25.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 	1.0000	0.9990	16	32	32	32	14	6	12	14	6	12	14	6	12	36479183	12021973	15062546	36479183	12021973	15062546	36479183	12021973	15062546		
sp|O00471|EXOC5_HUMAN	O00471	EXOC5_HUMAN	EXOC5	708	18.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Exocyst complex component 5 	1.0000	0.9990	12	17	17	17	11	3	3	11	3	3	11	3	3	8332622	3739278	13150514	8332622	3739278	13150514	8332622	3739278	13150514		
sp|O00479|HMGN4_HUMAN	O00479	HMGN4_HUMAN	HMGN4	90	55.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	High mobility group nucleosome-binding domain-containing protein 4 	1.0000	0.9990	8	27	27	39	8	6	13	8	6	13	13	8	18	63675961	39677412	72040246	63675961	39677412	72040246	588317172	80946566	449686992		
sp|O00483|NDUA4_HUMAN	O00483	NDUA4_HUMAN	NDUFA4	81	55.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome c oxidase subunit NDUFA4 	1.0000	0.9990	5	39	39	39	10	17	12	10	17	12	10	17	12	217258680	229617068	93903678	217258680	229617068	93903678	217258680	229617068	93903678		
sp|O00487|PSDE_HUMAN	O00487	PSDE_HUMAN	PSMD14	310	44.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 14 	1.0000	0.9990	11	21	21	21	9	7	5	9	7	5	9	7	5	39427100	28407598	12321580	39427100	28407598	12321580	39427100	28407598	12321580		
sp|O00499|BIN1_HUMAN	O00499	BIN1_HUMAN	BIN1	593	54.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Myc box-dependent-interacting protein 1 	1.0000	0.9990	31	167	160	167	53	76	38	51	73	36	53	76	38	445299444	158200822	101437770	437018376	150530990	90920874	445299444	158200822	101437770		
sp|O00505|IMA4_HUMAN	O00505	IMA4_HUMAN	KPNA3	521	13.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Importin subunit alpha-4 	1.0000	0.9990	8	6	6	19	2	1	3	2	1	3	8	4	7	6440748	980052	3059151	6440748	980052	3059151	22533183	26879080	126070755		
sp|O00519|FAAH1_HUMAN	O00519	FAAH1_HUMAN	FAAH	579	10.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Fatty-acid amide hydrolase 1 	1.0000	0.9990	4	5	5	5	4	1	0	4	1	0	4	1	0	19532817	1127480	     0	19532817	1127480	     0	19532817	1127480	     0		
sp|O00533|NCHL1_HUMAN	O00533	NCHL1_HUMAN	CHL1	1208	30.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Neural cell adhesion molecule L1-like protein 	1.0000	0.9990	28	61	61	61	24	23	14	24	23	14	24	23	14	62312929	58142081	35489066	62312929	58142081	35489066	62312929	58142081	35489066		
sp|O00534|VMA5A_HUMAN	O00534	VMA5A_HUMAN	VWA5A	786	20.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	von Willebrand factor A domain-containing protein 5A 	1.0000	0.9990	13	25	25	25	12	5	8	12	5	8	12	5	8	16654594	11831190	9623714	16654594	11831190	9623714	16654594	11831190	9623714		
sp|O00541|PESC_HUMAN	O00541	PESC_HUMAN	PES1	588	11.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pescadillo homolog 	1.0000	0.9990	7	8	8	8	6	1	1	6	1	1	6	1	1	5110393	747400	975392	5110393	747400	975392	5110393	747400	975392		
